Release 7.1i - par H.38
Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

#WED 13 APR 22:28:25 2005
#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       s3_vsmpl_map.ncd
#OUTPUT FILE:      s3_vsmpl_pad.csv
#PART TYPE:        xc3s200
#SPEED GRADE:      -4
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,,
H16,,DIFFM,IO_L40P_2/VREF_2,UNUSED,,2,,,,,,,,,,
J1,ram_b_data<4>,IOB,IO_L40P_6/VREF_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J2,ram_a_data<12>,IOB,IO_L40N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J3,ram_addr<14>,IOB,IO_L39P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J4,ram_addr<13>,IOB,IO_L39N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
J5,,,VCCO_6,,,6,,,,,2.50,,,,,
J6,,,VCCO_6,,,6,,,,,2.50,,,,,
J7,,,GND,,,,,,,,,,,,,
J8,,,GND,,,,,,,,,,,,,
J9,,,GND,,,,,,,,,,,,,
J10,,,GND,,,,,,,,,,,,,
J11,,,VCCO_3,,,3,,,,,2.50,,,,,
J12,,,VCCO_3,,,3,,,,,2.50,,,,,
J13,switch<5>,IOB,IO_L39P_3,INPUT,LVCMOS25,3,,,,NONE,,LOCATED,,NO,NONE,
J14,switch<4>,IOB,IO_L39N_3,INPUT,LVCMOS25,3,,,,NONE,,LOCATED,,NO,NONE,
J15,,,GND,,,,,,,,,,,,,
J16,,DIFFS,IO_L40N_3/VREF_3,UNUSED,,3,,,,,,,,,,
K1,ram_b_data<3>,IOB,IO,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K2,ram_b_data<13>,IOB,IO_L24P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K3,ram_addr<15>,IOB,IO_L24N_6/VREF_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K4,ram_oe,IOB,IO_L23P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K5,ram_addr<16>,IOB,IO_L23N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K6,,,VCCO_6,,,6,,,,,2.50,,,,,
K7,,,GND,,,,,,,,,,,,,
K8,,,GND,,,,,,,,,,,,,
K9,,,GND,,,,,,,,,,,,,
K10,,,GND,,,,,,,,,,,,,
K11,,,VCCO_3,,,3,,,,,2.50,,,,,
K12,led<0>,IOB,IO_L23N_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
K13,switch<7>,IOB,IO_L24P_3,INPUT,LVCMOS25,3,,,,NONE,,LOCATED,,NO,NONE,
K14,switch<6>,IOB,IO_L24N_3,INPUT,LVCMOS25,3,,,,NONE,,LOCATED,,NO,NONE,
K15,,DIFFS,IO,UNUSED,,3,,,,,,,,,,
K16,,DIFFM,IO_L40P_3,UNUSED,,3,,,,,,,,,,
L1,,,VCCAUX,,,,,,,,2.5,,,,,
L2,ram_a_data<13>,IOB,IO_L22P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L3,ram_addr<17>,IOB,IO_L22N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L4,ram_addr<4>,IOB,IO_L21P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L5,ram_addr<0>,IOB,IO_L21N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L6,,,GND,,,,,,,,,,,,,
L7,,,VCCO_5,,,5,,,,,2.50,,,,,
L8,,,VCCO_5,,,5,,,,,2.50,,,,,
L9,,,VCCO_4,,,4,,,,,2.50,,,,,
L10,,,VCCO_4,,,4,,,,,2.50,,,,,
L11,,,GND,,,,,,,,,,,,,
L12,led<2>,IOB,IO_L23P_3/VREF_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
L13,button<2>,IOB,IO_L21N_3,INPUT,LVCMOS25,3,,,,NONE,,LOCATED,,NO,NONE,
L14,button<3>,IOB,IO_L22P_3,INPUT,LVCMOS25,3,,,,IFD,,LOCATED,,YES,NONE,
L15,,DIFFS,IO_L22N_3,UNUSED,,3,,,,,,,,,,
L16,,,VCCAUX,,,,,,,,2.5,,,,,
M1,ram_b_data<14>,IOB,IO_L20P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
M2,ram_b_data<2>,IOB,IO_L20N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
M3,ram_addr<3>,IOB,IO_L19P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
M4,ram_addr<2>,IOB,IO_L19N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
M5,,,VCCINT,,,,,,,,1.2,,,,,
M6,,DIFFM,IO_L28P_5/D7,UNUSED,,5,,,,,,,,,,
M7,,DIFFM,IO_L30P_5,UNUSED,,5,,,,,,,,,,
M8,,,VCCO_5,,,5,,,,,2.50,,,,,
M9,,,VCCO_4,,,4,,,,,2.50,,,,,
M10,,DIFFS,IO_L29N_4,UNUSED,,4,,,,,,,,,,
M11,din,IOB,IO_L27N_4/DIN/D0,INPUT,LVCMOS25,4,,,,NONE,,LOCATED,,NO,NONE,
M12,,,VCCINT,,,,,,,,1.2,,,,,
M13,button<0>,IOB,IO_L21P_3,INPUT,LVCMOS25,3,,,,NONE,,LOCATED,,NO,NONE,
M14,button<1>,IOB,IO_L19N_3,INPUT,LVCMOS25,3,,,,NONE,,LOCATED,,NO,NONE,
M15,PS2_DATA,IOB,IO_L20P_3,INPUT,LVCMOS25,3,,,,NONE,,LOCATED,,NO,NONE,
M16,PS2_CLK,IOB,IO_L20N_3,INPUT,LVCMOS25,3,,,,NONE,,LOCATED,,NO,NONE,
N1,ram_b_data<15>,IOB,IO_L17P_6/VREF_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N2,ram_b_data<1>,IOB,IO_L17N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N3,ram_addr<1>,IOB,IO_L16P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N4,,,VCCINT,,,,,,,,1.2,,,,,
N5,ram_b_ce,IOB,IO,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N6,,DIFFS,IO_L28N_5/D6,UNUSED,,5,,,,,,,,,,
N7,ram_a_data<0>,IOB,IO_L30N_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N8,,DIFFM,IO_L32P_5/GCLK2,UNUSED,,5,,,,,,,,,,
N9,reset_prom,IOB,IO_L31N_4/INIT_B,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N10,,DIFFM,IO_L29P_4,UNUSED,,4,,,,,,,,,,
N11,,DIFFM,IO_L27P_4/D1,UNUSED,,4,,,,,,,,,,
N12,led<5>,IOB,IO/VREF_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N13,,,VCCINT,,,,,,,,1.2,,,,,
N14,led<3>,IOB,IO_L19P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N15,led7seg<2>,IOB,IO_L17P_3/VREF_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N16,led7seg<6>,IOB,IO_L17N_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P1,ram_a_data<14>,IOB,IO_L01P_6/VRN_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P2,ram_b_data<0>,IOB,IO_L16N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P3,,,M0,,,,,,,,,,,,,
P4,,,M2,,,,,,,,,,,,,
P5,ram_b_lb,IOB,IO_L27P_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P6,ram_a_lb,IOB,IO_L29P_5/VREF_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P7,ram_a_ce,IOB,IO,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P8,ram_a_data<9>,IOB,IO_L32N_5/GCLK3,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P9,,DIFFM,IO_L31P_4/DOUT/BUSY,UNUSED,,4,,,,,,,,,,
P10,,DIFFS,IO_L30N_4/D2,UNUSED,,4,,,,,,,,,,
P11,led<7>,IOB,IO_L28N_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P12,led<6>,IOB,IO_L25N_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P13,led<4>,IOB,IO/VREF_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P14,led<1>,IOB,IO_L16P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P15,led7seg<3>,IOB,IO_L16N_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P16,led7seg<7>,IOB,IO_L01N_3/VRP_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
R1,ram_a_data<15>,IOB,IO_L01N_6/VRP_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
R2,,,GND,,,,,,,,,,,,,
R3,,DIFFM,IO_L01P_5/CS_B,UNUSED,,5,,,,,,,,,,
R4,ram_b_ub,IOB,IO_L10P_5/VRN_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
R5,ram_a_data<4>,IOB,IO_L27N_5/VREF_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
R6,ram_a_data<2>,IOB,IO_L29N_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
R7,,DIFFM,IO_L31P_5/D5,UNUSED,,5,,,,,,,,,,
R8,,,GND,,,,,,,,,,,,,
R9,VGA_HS,IOB,IO_L32N_4/GCLK1,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
R10,,DIFFM,IO_L30P_4/D3,UNUSED,,4,,,,,,,,,,
R11,VGA_B,IOB,IO_L28P_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
R12,VGA_R,IOB,IO_L25P_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
R13,tx,IOB,IO_L01N_4/VRP_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
R14,,,DONE,,,,,,,,,,,,,
R15,,,GND,,,,,,,,,,,,,
R16,led7seg<4>,IOB,IO_L01P_3/VRN_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
T1,,,GND,,,,,,,,,,,,,
T2,,,M1,,,,,,,,,,,,,
T3,,DIFFS,IO_L01N_5/RDWR_B,UNUSED,,5,,,,,,,,,,
T4,ram_a_ub,IOB,IO_L10N_5/VRP_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
T5,ram_a_data<3>,IOB,IO,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
T6,,,VCCAUX,,,,,,,,2.5,,,,,
T7,,DIFFS,IO_L31N_5/D4,UNUSED,,5,,,,,,,,,,
T8,ram_a_data<1>,IOB,IO/VREF_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
T9,clk,IOB,IO_L32P_4/GCLK0,INPUT,LVCMOS25,4,,,,NONE,,LOCATED,,NO,NONE,
T10,VGA_VS,IOB,IO/VREF_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
T11,,,VCCAUX,,,,,,,,2.5,,,,,
T12,VGA_G,IOB,IO,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
T13,rx,IOB,IO_L01P_4/VRN_4,INPUT,LVCMOS25,4,,,,IFD,,LOCATED,,YES,NONE,
T14,,DIFFS,IO,UNUSED,,4,,,,,,,,,,
T15,,,CCLK,,,,,,,,,,,,,
T16,,,GND,,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** This value can be any of the allowed voltages 
#       (1.2v,1.5v,1.8v,2.5v,3.3v) or VCCAUX 
#
#
#
