A-Z80 Timing Table	M_	T_	Function	valid	nextM	setM1	A:reg rd	A:reg wr	inc/dec	A:latch	D:reg rd	D:reg wr	Reg gate	SW2	SW1	DB pads	FLAGT	ALU	ALU bus	op2 latch	op1 latch	nibble	operation		SZ	XY	HF	PF	NF	CF	CF2		Special	Comments
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1							I/R		>	d			alu	>s0		bus	bus	L	OR		*	*	*		0					
#009H T5  AB:001 DB:--	1	5			1	1																												
#end																																		
																																		
"#if pla[57] : ld i,a/r,a"			5																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch																															
#006H T2  AB:001 DB:47  M1      MREQ RD	1	2	fMFetch																															
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1								I/R	<	u				<	op1															
#009H T5  AB:001 DB:--	1	5			1	1																												
#end																																		
																																		
// 16-bit Load Group																																		
																																		
"#if pla[7] : ld rr,nn"			"4,3,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									rh	<	d	<	R																	USE_SP	
#002H T2  AB:000 DB:01  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:001 DB:--	2	1	fMRead				PC			W																								
#006H T6  AB:001 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#007H T7  AB:001 DB:01          MREQ RD	2	3	fMRead		mr																													
#008H T8  AB:002 DB:--	3	1	fMRead				PC			W		rl	<	d	<	R																	USE_SP	
#009H T9  AB:002 DB:02          MREQ RD	3	2	fMRead					PC	+	R																								
#010H T10 AB:002 DB:02          MREQ RD	3	3	fMRead		1	1																												
#end																																		
																																		
"#if pla[30] && pla[13] : ld (nn),hl"			"4,3,3,3,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:22  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:001 DB:--	2	1	fMRead				PC			W																								
#006H T6  AB:001 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#007H T7  AB:001 DB:01          MREQ RD	2	3	fMRead		mr							Z	<l	d	<	R																		
#008H T8  AB:002 DB:--	3	1	fMRead				PC			W																								
#009H T9  AB:002 DB:02          MREQ RD	3	2	fMRead					PC	+	R																								
#010H T10 AB:002 DB:02          MREQ RD	3	3	fMRead		mw		WZ			W		W	<h	d	<	R																		
#011H T11 AB:001 DB:--	4	1	fMWrite							R	rl		>	u	>	W																		
#012H T12 AB:001 DB:01          MREQ	4	2	fMWrite					WZ	+	R																								
#013H T13 AB:001 DB:01          MREQ    WR	4	3	fMWrite		mw		WZ			W																								
#014H T14 AB:002 DB:--	5	1	fMWrite							R	rh		>	u	>	W																		
#015H T15 AB:002 DB:02          MREQ	5	2	fMWrite					WZ	+	R																								
#016H T16 AB:002 DB:02          MREQ    WR	5	3	fMWrite		1	1																												
#end																																		
																																		
"#if pla[30] && !pla[13] : ld hl,(nn)"			"4,3,3,3,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:2A  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:001 DB:--	2	1	fMRead				PC			W																								
#006H T6  AB:001 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#007H T7  AB:001 DB:01          MREQ RD	2	3	fMRead		mr							Z	<l	d	<	R																		
#008H T8  AB:002 DB:--	3	1	fMRead				PC			W																								
#009H T9  AB:002 DB:02          MREQ RD	3	2	fMRead					PC	+	R																								
#010H T10 AB:002 DB:02          MREQ RD	3	3	fMRead		mr							W	<h	d	<	R																		
#011H T11 AB:001 DB:--	4	1	fMRead				WZ			W																								
#012H T12 AB:001 DB:01          MREQ RD	4	2	fMRead					WZ	+	R																								
#013H T13 AB:001 DB:01          MREQ RD	4	3	fMRead		mr							rl	<	d	<	R																		
#014H T14 AB:002 DB:--	5	1	fMRead				WZ			W																								
#015H T15 AB:002 DB:02          MREQ RD	5	2	fMRead					WZ	+	R																								
#016H T16 AB:002 DB:02          MREQ RD	5	3	fMRead		1	1						rh	<	d	<	R																		
#end																																		
																																		
"#if pla[31] && pla[33] : ld (nn),rr"			"4,3,3,3,3"																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch																															
#006H T2  AB:001 DB:43  M1      MREQ RD	1	2	fMFetch																															
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch																															
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#009H T5  AB:002 DB:--	2	1	fMRead				PC			W																								
#010H T6  AB:002 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#011H T7  AB:002 DB:01          MREQ RD	2	3	fMRead		mr							Z	<l	d	<	R																		
#012H T8  AB:003 DB:--	3	1	fMRead				PC			W																								
#013H T9  AB:003 DB:02          MREQ RD	3	2	fMRead					PC	+	R																								
#014H T10 AB:003 DB:02          MREQ RD	3	3	fMRead		mw		WZ			W		W	<h	d	<	R																		
#015H T11 AB:001 DB:--	4	1	fMWrite							R	rl		>	u	>	W																	USE_SP	
#016H T12 AB:001 DB:FF          MREQ	4	2	fMWrite					WZ	+	R																								
#017H T13 AB:001 DB:FF          MREQ    WR	4	3	fMWrite		mw		WZ			W																								
#018H T14 AB:002 DB:--	5	1	fMWrite							R	rh		>	u	>	W																	USE_SP	
#019H T15 AB:002 DB:C3          MREQ	5	2	fMWrite					WZ	+	R																								
#020H T16 AB:002 DB:C3          MREQ    WR	5	3	fMWrite		1	1																												
#end																																		
																																		
"#if pla[31] && !pla[33] : ld rr,(nn)"			"4,3,3,3,3"																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch																															
#006H T2  AB:001 DB:43  M1      MREQ RD	1	2	fMFetch																															
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch																															
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#009H T5  AB:002 DB:--	2	1	fMRead				PC			W																								
#010H T6  AB:002 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#011H T7  AB:002 DB:01          MREQ RD	2	3	fMRead		mr							Z	<l	d	<	R																		
#012H T8  AB:003 DB:--	3	1	fMRead				PC			W																								
#013H T9  AB:003 DB:02          MREQ RD	3	2	fMRead					PC	+	R																								
#014H T10 AB:003 DB:02          MREQ RD	3	3	fMRead		mr							W	<h	d	<	R																		
#015H T11 AB:001 DB:--	4	1	fMRead				WZ			W																								
#016H T12 AB:001 DB:FF          MREQ RD	4	2	fMRead					WZ	+	R																								
#017H T13 AB:001 DB:FF          MREQ RD	4	3	fMRead		mr							rl	<	d	<	R																	USE_SP	
#018H T14 AB:002 DB:--	5	1	fMRead				WZ			W																								
#019H T15 AB:002 DB:C3          MREQ RD	5	2	fMRead					WZ	+	R																								
#020H T16 AB:002 DB:C3          MREQ RD	5	3	fMRead		1	1						rh	<	d	<	R																	USE_SP	
#end																																		
																																		
"#if pla[5] : ld sp,hl"			6																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:F9  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1			HL			W																								
#005H T5  AB:000 DB:--	1	5						SP		R																								
#006H T6  AB:000 DB:--	1	6			1	1																												
#end																																		
																																		
#if pla[23] && pla[16] : push qq			"5,3,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:C5  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1																														
#005H T5  AB:000 DB:--	1	5			mw		SP		-	W																								
#006H T6  AB:002 DB:--	2	1	fMWrite						-	P	rh		>	u	>	W																		
#007H T7  AB:002 DB:02          MREQ	2	2	fMWrite					SP	-	R																								
#008H T8  AB:002 DB:02          MREQ    WR	2	3	fMWrite		mw		SP		-	W																								
#009H T9  AB:001 DB:--	3	1	fMWrite						-	P	rl		>	u	>	W																		
#010H T10 AB:001 DB:01          MREQ	3	2	fMWrite					SP	-	R																								
#011H T11 AB:001 DB:01          MREQ    WR	3	3	fMWrite		1	1																												
#end																																		
																																		
#if pla[23] && !pla[16] : pop qq			"4,3,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:C1  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:001 DB:--	2	1	fMRead				SP			W																								
#006H T6  AB:001 DB:01          MREQ RD	2	2	fMRead					SP	+	R																								
#007H T7  AB:001 DB:01          MREQ RD	2	3	fMRead		mr							rl	<	d	<	R																		
#008H T8  AB:002 DB:--	3	1	fMRead				SP			W																								
#009H T9  AB:002 DB:02          MREQ RD	3	2	fMRead					SP	+	R																								
#010H T10 AB:002 DB:02          MREQ RD	3	3	fMRead		1	1						rh	<	d	<	R																		
#end																																		
																																		
"// Exchange, Block Transfer and Search Groups"																																		
																																		
"#if pla[2] : ex de,hl"			4																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:EB  M1      MREQ RD	1	2	fMFetch																														Ex_DE_HL	
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1																												
#end																																		
																																		
"#if pla[39] : ex af,af'"			4																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:08  M1      MREQ RD	1	2	fMFetch																														Ex_AF_AF'	
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1																												
#end																																		
																																		
#if pla[1] : exx			4																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:D9  M1      MREQ RD	1	2	fMFetch																														EXX	
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1																												
#end																																		
																																		
"#if pla[10] : ex (sp),hl"			"4,3,4,3,5"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:E3  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:0FD DB:--	2	1	fMRead				SP			W																								
#006H T6  AB:0FD DB:03          MREQ RD	2	2	fMRead					SP	+	R																								
#007H T7  AB:0FD DB:03          MREQ RD	2	3	fMRead		mr							Z	<l	d	<	R																		
#008H T8  AB:0FE DB:--	3	1	fMRead				SP			W																								
#009H T9  AB:0FE DB:D1          MREQ RD	3	2	fMRead					SP	+	R																								
#010H T10 AB:0FE DB:D1          MREQ RD	3	3	fMRead									W	<h	d	<	R																		
#011H T11 AB:0FE DB:-- 	3	4			mw		SP		-	W																								
#012H T12 AB:0FE DB:--	4	1	fMWrite						-	P	rh		>	u	>	W																		
#013H T13 AB:0FE DB:00          MREQ	4	2	fMWrite					SP	-	R																								
#014H T14 AB:0FE DB:00          MREQ    WR	4	3	fMWrite		mw		SP		-	W																								
#015H T15 AB:0FD DB:--	5	1	fMWrite						-	P	rl		>	u	>	W																		
#016H T16 AB:0FD DB:01          MREQ	5	2	fMWrite					SP	-	R																								
#017H T17 AB:0FD DB:01          MREQ    WR 	5	3	fMWrite				WZ			W																								
#018H T18 AB:0FD DB:01	5	4						HL		R																								
#019H T19 AB:0FD DB:01	5	5			1	1																												
#end																																		
																																		
#if pla[0] : Non-repeating version of a block instruction			"4,3,5,(5)"																															
#always																																	NonRep	
#end																																		
																																		
#if pla[12] : ldi/ldir/ldd/lddr			"4,3,5,(5)"																															
#035H T1  AB:00A DB:--  M1	1	1	fMFetch														alu		res			H	OR			*	*	REP	0		R			
#036H T2  AB:00A DB:B0  M1      MREQ RD	1	2	fMFetch									F	<				<																	
#037H T3  AB:004 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#038H T4  AB:004 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#039H T5  AB:000 DB:--	2	1	fMRead				HL			W																								
#040H T6  AB:000 DB:21          MREQ RD	2	2	fMRead					HL	op3	R																								
#041H T7  AB:000 DB:21          MREQ RD	2	3	fMRead		mw									d	<	R	alu	>s0		bus		L	ADD				*				W			
#042H T8  AB:000 DB:--	3	1	fMWrite				DE			W							alu	<	res			H	ADD								R			
#043H T9  AB:000 DB:21          MREQ	3	2	fMWrite					DE	op3	R																								
#044H T10 AB:000 DB:21          MREQ    WR	3	3	fMWrite				BC			W																								
#045H T11 AB:000 DB:21	3	4						BC	-	R																							WriteBC=1	Update repeat flag latch
#046H T12 AB:000 DB:21	3	5			1	BR																												
#047H T13 AB:000 DB:--	4	1					PC			W																								
#048H T14 AB:000 DB:--	4	2						PC	-	R																								
#049H T15 AB:000 DB:--	4	3					PC			W																								
#050H T16 AB:000 DB:--	4	4						PC	-	R																								
#051H T17 AB:000 DB:--	4	5			1	1																												
#end																																		
																																		
#if pla[11] : cpi/cpir/cpd/cpdr			"4,3,5,(5)"																															
#035H T1  AB:00A DB:--  M1	1	1	fMFetch														alu	<	res		0	H	SUB			*		REP	1		R			
#036H T2  AB:00A DB:B1  M1      MREQ RD	1	2	fMFetch									F	<				<																?NF_HF	
#037H T3  AB:004 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#038H T4  AB:004 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#039H T5  AB:000 DB:--	2	1	fMRead				HL			W																								
#040H T6  AB:000 DB:21          MREQ RD	2	2	fMRead					HL	op3	R																								
#041H T7  AB:000 DB:21          MREQ RD	2	3	fMRead		1									d	<	R	alu	>s0		bus		L	SUB				*				W			
#042H T8  AB:000 DB:--	3	1															alu	<	res			H	SUB		*						R			
#043H T9  AB:000 DB:--	3	2																																
#044H T10 AB:000 DB:--	3	3					BC			W																								
#045H T11 AB:000 DB:--	3	4						BC	-	R																							WriteBC=1	Update repeat flag latch
#046H T12 AB:000 DB:--	3	5			1	BRZ																												
#047H T13 AB:000 DB:--	4	1					PC			W																								
#048H T14 AB:000 DB:--	4	2						PC	-	R																								
#049H T15 AB:000 DB:--	4	3					PC			W																								
#050H T16 AB:000 DB:--	4	4						PC	-	R																								
#051H T17 AB:000 DB:--	4	5			1	1																												
#end																																		
																																		
// 8-bit Arithmetic and Logic Group																																		
																																		
"#if pla[65] && !pla[52] : add/sub/and/or/xor/cmp a,r"			4																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									?	<	u			alu	<	res			H	PLA		*	?		?	?	*				A is stored in each ALU PLA below
#002H T2  AB:000 DB:80  M1      MREQ RD	1	2	fMFetch									F	<				<						PLA										?NF_HF_CF	"If (NF), complement HF, CF"
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1					r8'		>	d			alu	>s0		bus		L	PLA		*	*	*		?					
#end																																		
																																		
"#if pla[64] : add/sub/and/or/xor/cmp a,n"			"4,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									?	<	u			alu	<	res			H	PLA		*	?		?	?	*				A is stored in each ALU PLA below
#002H T2  AB:000 DB:C6  M1      MREQ RD	1	2	fMFetch									F	<				<						PLA										?NF_HF_CF	"If (NF), complement HF, CF"
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr						r8'		>	d			alu	>s0		bus		L	PLA		*	*	*		?					
#005H T5  AB:001 DB:--	2	1	fMRead				PC			W													PLA											
#006H T6  AB:001 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#007H T7  AB:001 DB:01          MREQ RD	2	3	fMRead		1	1								d	<	R	alu	>s0		bus		L	PLA		*	*	*		?					
