Release 8.2.02i - par I.33
Copyright (c) 1995-2006 Xilinx, Inc.  All rights reserved.

Sat Nov 18 17:16:07 2006


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       testbench_map.ncd
OUTPUT FILE:      testbench_pad.txt
PART TYPE:        xc3s1000
SPEED GRADE:      -4
PACKAGE:          ft256

Pinout by Pin Number:

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name           |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|DCI Value|IO Register|Signal Integrity|
|A13       |           |DIFFS    |IO_L10N_1/VREF_1   |UNUSED   |           |1             |          |         |           |         |         |          |         |           |                |
|A14       |           |DIFFS    |IO_L01N_1/VRP_1    |UNUSED   |           |1             |          |         |           |         |         |          |         |           |                |
|A15       |           |         |TDO                |         |           |              |          |         |           |         |         |          |         |           |                |
|A16       |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|B1        |r<2>       |IOB      |IO_L01P_7/VRN_7    |OUTPUT   |LVCMOS25   |7             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|B2        |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|B3        |           |         |PROG_B             |         |           |              |          |         |           |         |         |          |         |           |                |
|B4        |           |DIFFS    |IO_L01N_0/VRP_0    |UNUSED   |           |0             |          |         |           |         |         |          |         |           |                |
|B5        |           |DIFFM    |IO_L25P_0          |UNUSED   |           |0             |          |         |           |         |         |          |         |           |                |
|B6        |           |DIFFM    |IO_L28P_0          |UNUSED   |           |0             |          |         |           |         |         |          |         |           |                |
|B7        |hsync_n    |IOB      |IO_L30P_0          |OUTPUT   |LVCMOS25   |0             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |YES        |NONE            |
|B8        |           |DIFFS    |IO_L32N_0/GCLK7    |UNUSED   |           |0             |          |         |           |         |         |          |         |           |                |
|B9        |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|B10       |           |DIFFM    |IO_L31P_1          |UNUSED   |           |1             |          |         |           |         |         |          |         |           |                |
|B11       |           |DIFFS    |IO_L29N_1          |UNUSED   |           |1             |          |         |           |         |         |          |         |           |                |
|B12       |           |DIFFS    |IO_L27N_1          |UNUSED   |           |1             |          |         |           |         |         |          |         |           |                |
|B13       |           |DIFFM    |IO_L10P_1          |UNUSED   |           |1             |          |         |           |         |         |          |         |           |                |
|B14       |           |DIFFM    |IO_L01P_1/VRN_1    |UNUSED   |           |1             |          |         |           |         |         |          |         |           |                |
|B15       |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|B16       |ps2_clk    |IOB      |IO_L01N_2/VRP_2    |INPUT    |LVCMOS25   |2             |          |         |           |IFD      |         |LOCATED   |         |YES        |NONE            |
|C1        |           |DIFFS    |IO_L01N_7/VRP_7    |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|C2        |           |DIFFS    |IO_L16N_7          |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|C3        |g<2>       |IOB      |IO_L16P_7/VREF_7   |OUTPUT   |LVCMOS25   |7             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|C4        |           |         |HSWAP_EN           |         |           |              |          |         |           |         |         |          |         |           |                |
|C5        |           |DIFFS    |IO_L25N_0          |UNUSED   |           |0             |          |         |           |         |         |          |         |           |                |
|C6        |           |DIFFS    |IO_L28N_0          |UNUSED   |           |0             |          |         |           |         |         |          |         |           |                |
|C7        |           |DIFFS    |IO_L30N_0          |UNUSED   |           |0             |          |         |           |         |         |          |         |           |                |
|C8        |r<0>       |IOB      |IO_L31P_0/VREF_0   |OUTPUT   |LVCMOS25   |0             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|C9        |b<0>       |IOB      |IO_L32N_1/GCLK5    |OUTPUT   |LVCMOS25   |1             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|C10       |           |IOB      |IO                 |UNUSED   |           |1             |          |         |           |         |         |          |         |           |                |
|C11       |           |DIFFM    |IO_L29P_1          |UNUSED   |           |1             |          |         |           |         |         |          |         |           |                |
|C12       |           |DIFFM    |IO_L27P_1          |UNUSED   |           |1             |          |         |           |         |         |          |         |           |                |
|C13       |           |         |TMS                |         |           |              |          |         |           |         |         |          |         |           |                |
|C14       |           |         |TCK                |         |           |              |          |         |           |         |         |          |         |           |                |
|C15       |           |DIFFS    |IO_L16N_2          |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|C16       |diag<3>    |IOB      |IO_L01P_2/VRN_2    |OUTPUT   |LVCMOS25   |2             |12        |SLOW     |NONE**     |         |         |          |         |NO         |NONE            |
|D1        |writemem   |IOB      |IO_L17N_7          |OUTPUT   |LVCMOS25   |7             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|D2        |readio     |IOB      |IO_L17P_7          |OUTPUT   |LVCMOS25   |7             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|D3        |           |DIFFM    |IO_L19P_7          |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|D4        |           |         |VCCINT             |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|D5        |b<2>       |IOB      |IO/VREF_0          |OUTPUT   |LVCMOS25   |0             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|D6        |r<1>       |IOB      |IO_L27P_0          |OUTPUT   |LVCMOS25   |0             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|D7        |           |DIFFM    |IO_L29P_0          |UNUSED   |           |0             |          |         |           |         |         |          |         |           |                |
|D8        |vsync_n    |IOB      |IO_L31N_0          |OUTPUT   |LVCMOS25   |0             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|D9        |           |DIFFM    |IO_L32P_1/GCLK4    |UNUSED   |           |1             |          |         |           |         |         |          |         |           |                |
|D10       |           |DIFFS    |IO_L30N_1          |UNUSED   |           |1             |          |         |           |         |         |          |         |           |                |
|D11       |           |DIFFS    |IO_L28N_1          |UNUSED   |           |1             |          |         |           |         |         |          |         |           |                |
|D12       |           |IOB      |IO/VREF_1          |UNUSED   |           |1             |          |         |           |         |         |          |         |           |                |
|D13       |           |         |VCCINT             |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|D14       |           |DIFFM    |IO_L16P_2          |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|D15       |           |DIFFS    |IO_L17N_2          |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|D16       |           |DIFFM    |IO_L17P_2/VREF_2   |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|E1        |data<1>    |IOB      |IO_L20N_7          |BIDIR    |LVCMOS25   |7             |12        |SLOW     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|E2        |data<0>    |IOB      |IO_L20P_7          |BIDIR    |LVCMOS25   |7             |12        |SLOW     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|E3        |           |DIFFS    |IO_L19N_7/VREF_7   |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|E4        |           |DIFFM    |IO_L21P_7          |UNUSED   |           |7             |          |         |           |         |         |          |         |           |                |
|E5        |           |         |VCCINT             |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|E6        |           |DIFFS    |IO_L27N_0          |UNUSED   |           |0             |          |         |           |         |         |          |         |           |                |
|E7        |b<1>       |IOB      |IO_L29N_0          |OUTPUT   |LVCMOS25   |0             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|E8        |           |         |VCCO_0             |         |           |0             |          |         |           |         |2.50     |          |         |           |                |
|E9        |           |         |VCCO_1             |         |           |1             |          |         |           |         |2.50     |          |         |           |                |
|E10       |           |DIFFM    |IO_L30P_1          |UNUSED   |           |1             |          |         |           |         |         |          |         |           |                |
|E11       |reset_n    |IOB      |IO_L28P_1          |INPUT    |LVCMOS25   |1             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|E12       |           |         |VCCINT             |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|E13       |ps2_data   |IOB      |IO_L19N_2          |INPUT    |LVCMOS25   |2             |          |         |           |IFD      |         |LOCATED   |         |YES        |NONE            |
|E14       |diag<4>    |IOB      |IO_L19P_2          |OUTPUT   |LVCMOS25   |2             |12        |SLOW     |NONE**     |         |         |          |         |NO         |NONE            |
|E15       |           |DIFFS    |IO_L20N_2          |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|E16       |           |DIFFM    |IO_L20P_2          |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|F1        |           |         |VCCAUX             |         |           |              |          |         |           |         |2.5      |          |         |           |                |
|F2        |data<4>    |IOB      |IO_L22N_7          |BIDIR    |LVCMOS25   |7             |12        |SLOW     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|F3        |data<2>    |IOB      |IO_L22P_7          |BIDIR    |LVCMOS25   |7             |12        |SLOW     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|F4        |readmem    |IOB      |IO_L21N_7          |OUTPUT   |LVCMOS25   |7             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|F5        |writeio    |IOB      |IO_L23P_7          |OUTPUT   |LVCMOS25   |7             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|F6        |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|F7        |           |         |VCCO_0             |         |           |0             |          |         |           |         |2.50     |          |         |           |                |
|F8        |           |         |VCCO_0             |         |           |0             |          |         |           |         |2.50     |          |         |           |                |
|F9        |           |         |VCCO_1             |         |           |1             |          |         |           |         |2.50     |          |         |           |                |
|F10       |           |         |VCCO_1             |         |           |1             |          |         |           |         |2.50     |          |         |           |                |
|F11       |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|F12       |           |DIFFS    |IO_L21N_2          |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|F13       |           |DIFFM    |IO_L21P_2          |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|F14       |           |DIFFS    |IO_L22N_2          |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|F15       |           |DIFFM    |IO_L22P_2          |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|F16       |           |         |VCCAUX             |         |           |              |          |         |           |         |2.5      |          |         |           |                |
|G1        |addr<0>    |IOB      |IO_L40P_7          |OUTPUT   |LVCMOS25   |7             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|G2        |data<7>    |IOB      |IO                 |BIDIR    |LVCMOS25   |7             |12        |SLOW     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|G3        |data<6>    |IOB      |IO_L24N_7          |BIDIR    |LVCMOS25   |7             |12        |SLOW     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|G4        |data<5>    |IOB      |IO_L24P_7          |BIDIR    |LVCMOS25   |7             |12        |SLOW     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|G5        |data<3>    |IOB      |IO_L23N_7          |BIDIR    |LVCMOS25   |7             |12        |SLOW     |NONE**     |IFD      |         |LOCATED   |         |YES        |NONE            |
|G6        |           |         |VCCO_7             |         |           |7             |          |         |           |         |2.50     |          |         |           |                |
|G7        |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|G8        |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|G9        |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|G10       |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|G11       |           |         |VCCO_2             |         |           |2             |          |         |           |         |2.50     |          |         |           |                |
|G12       |           |DIFFS    |IO_L23N_2/VREF_2   |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|G13       |           |DIFFM    |IO_L23P_2          |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|G14       |           |DIFFS    |IO_L24N_2          |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|G15       |           |DIFFM    |IO_L24P_2          |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|G16       |           |DIFFM    |IO                 |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|H1        |addr<3>    |IOB      |IO_L40N_7/VREF_7   |OUTPUT   |LVCMOS25   |7             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|H2        |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|H3        |addr<2>    |IOB      |IO_L39N_7          |OUTPUT   |LVCMOS25   |7             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|H4        |addr<1>    |IOB      |IO_L39P_7          |OUTPUT   |LVCMOS25   |7             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|H5        |           |         |VCCO_7             |         |           |7             |          |         |           |         |2.50     |          |         |           |                |
|H6        |           |         |VCCO_7             |         |           |7             |          |         |           |         |2.50     |          |         |           |                |
|H7        |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|H8        |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|H9        |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|H10       |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|H11       |           |         |VCCO_2             |         |           |2             |          |         |           |         |2.50     |          |         |           |                |
|H12       |           |         |VCCO_2             |         |           |2             |          |         |           |         |2.50     |          |         |           |                |
|H13       |           |DIFFS    |IO_L39N_2          |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|H14       |           |DIFFM    |IO_L39P_2          |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|H15       |           |DIFFS    |IO_L40N_2          |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|H16       |diag<0>    |IOB      |IO_L40P_2/VREF_2   |OUTPUT   |LVCMOS25   |2             |12        |SLOW     |NONE**     |         |         |          |         |NO         |NONE            |
|J1        |addr<4>    |IOB      |IO_L40P_6/VREF_6   |OUTPUT   |LVCMOS25   |6             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|J2        |addr<5>    |IOB      |IO_L40N_6          |OUTPUT   |LVCMOS25   |6             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|J3        |addr<6>    |IOB      |IO_L39P_6          |OUTPUT   |LVCMOS25   |6             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|J4        |addr<15>   |IOB      |IO_L39N_6          |OUTPUT   |LVCMOS25   |6             |12        |SLOW     |NONE**     |         |         |          |         |NO         |NONE            |
|J5        |           |         |VCCO_6             |         |           |6             |          |         |           |         |2.50     |          |         |           |                |
|J6        |           |         |VCCO_6             |         |           |6             |          |         |           |         |2.50     |          |         |           |                |
|J7        |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|J8        |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|J9        |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|J10       |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|J11       |           |         |VCCO_3             |         |           |3             |          |         |           |         |2.50     |          |         |           |                |
|J12       |           |         |VCCO_3             |         |           |3             |          |         |           |         |2.50     |          |         |           |                |
|J13       |           |DIFFM    |IO_L39P_3          |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
|J14       |diag<2>    |IOB      |IO_L39N_3          |OUTPUT   |LVCMOS25   |3             |12        |SLOW     |NONE**     |         |         |          |         |NO         |NONE            |
|J15       |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|J16       |           |DIFFS    |IO_L40N_3/VREF_3   |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
|K1        |addr<7>    |IOB      |IO                 |OUTPUT   |LVCMOS25   |6             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|K2        |           |DIFFM    |IO_L24P_6          |UNUSED   |           |6             |          |         |           |         |         |          |         |           |                |
|K3        |           |DIFFS    |IO_L24N_6/VREF_6   |UNUSED   |           |6             |          |         |           |         |         |          |         |           |                |
|K4        |           |DIFFM    |IO_L23P_6          |UNUSED   |           |6             |          |         |           |         |         |          |         |           |                |
|K5        |addr<9>    |IOB      |IO_L23N_6          |OUTPUT   |LVCMOS25   |6             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|K6        |           |         |VCCO_6             |         |           |6             |          |         |           |         |2.50     |          |         |           |                |
|K7        |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|K8        |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|K9        |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|K10       |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|K11       |           |         |VCCO_3             |         |           |3             |          |         |           |         |2.50     |          |         |           |                |
|K12       |           |DIFFS    |IO_L23N_3          |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
|K13       |           |DIFFM    |IO_L24P_3          |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
|K14       |           |DIFFS    |IO_L24N_3          |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
|K15       |           |DIFFS    |IO                 |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
|K16       |           |DIFFM    |IO_L40P_3          |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
|L1        |           |         |VCCAUX             |         |           |              |          |         |           |         |2.5      |          |         |           |                |
|L2        |addr<8>    |IOB      |IO_L22P_6          |OUTPUT   |LVCMOS25   |6             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|L3        |addr<10>   |IOB      |IO_L22N_6          |OUTPUT   |LVCMOS25   |6             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|L4        |addr<13>   |IOB      |IO_L21P_6          |OUTPUT   |LVCMOS25   |6             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|L5        |waitr      |IOB      |IO_L21N_6          |OUTPUT   |LVCMOS25   |6             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|L6        |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|L7        |           |         |VCCO_5             |         |           |5             |          |         |           |         |2.50     |          |         |           |                |
|L8        |           |         |VCCO_5             |         |           |5             |          |         |           |         |2.50     |          |         |           |                |
|L9        |           |         |VCCO_4             |         |           |4             |          |         |           |         |any******|          |         |           |                |
|L10       |           |         |VCCO_4             |         |           |4             |          |         |           |         |any******|          |         |           |                |
|L11       |           |         |GND                |         |           |              |          |         |           |         |         |          |         |           |                |
|L12       |           |DIFFM    |IO_L23P_3/VREF_3   |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
|L13       |           |DIFFS    |IO_L21N_3          |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
|L14       |           |DIFFM    |IO_L22P_3          |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
|L15       |           |DIFFS    |IO_L22N_3          |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
|L16       |           |         |VCCAUX             |         |           |              |          |         |           |         |2.5      |          |         |           |                |
|M1        |addr<11>   |IOB      |IO_L20P_6          |OUTPUT   |LVCMOS25   |6             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|M2        |addr<12>   |IOB      |IO_L20N_6          |OUTPUT   |LVCMOS25   |6             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|M3        |diag<7>    |IOB      |IO_L19P_6          |OUTPUT   |LVCMOS25   |6             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|M4        |intr       |IOB      |IO_L19N_6          |OUTPUT   |LVCMOS25   |6             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|M5        |           |         |VCCINT             |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|M6        |diag<5>    |IOB      |IO_L28P_5/D7       |OUTPUT   |LVCMOS25   |5             |12        |SLOW     |NONE**     |         |         |          |         |NO         |NONE            |
|M7        |           |DIFFM    |IO_L30P_5          |UNUSED   |           |5             |          |         |           |         |         |          |         |           |                |
|M8        |           |         |VCCO_5             |         |           |5             |          |         |           |         |2.50     |          |         |           |                |
|M9        |           |         |VCCO_4             |         |           |4             |          |         |           |         |any******|          |         |           |                |
|M10       |           |DIFFS    |IO_L29N_4          |UNUSED   |           |4             |          |         |           |         |         |          |         |           |                |
|M11       |           |DIFFS    |IO_L27N_4/DIN/D0   |UNUSED   |           |4             |          |         |           |         |         |          |         |           |                |
|M12       |           |         |VCCINT             |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|M13       |           |DIFFM    |IO_L21P_3          |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
|M14       |           |DIFFS    |IO_L19N_3          |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
|M15       |           |DIFFM    |IO_L20P_3          |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
|M16       |           |DIFFS    |IO_L20N_3          |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
|N1        |addr<14>   |IOB      |IO_L17P_6/VREF_6   |OUTPUT   |LVCMOS25   |6             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|N2        |           |DIFFS    |IO_L17N_6          |UNUSED   |           |6             |          |         |           |         |         |          |         |           |                |
|N3        |           |DIFFM    |IO_L16P_6          |UNUSED   |           |6             |          |         |           |         |         |          |         |           |                |
|N4        |           |         |VCCINT             |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|N5        |           |IOB      |IO                 |UNUSED   |           |5             |          |         |           |         |         |          |         |           |                |
|N6        |           |DIFFS    |IO_L28N_5/D6       |UNUSED   |           |5             |          |         |           |         |         |          |         |           |                |
|N7        |           |DIFFS    |IO_L30N_5          |UNUSED   |           |5             |          |         |           |         |         |          |         |           |                |
|N8        |           |DIFFM    |IO_L32P_5/GCLK2    |UNUSED   |           |5             |          |         |           |         |         |          |         |           |                |
|N9        |           |DIFFS    |IO_L31N_4/INIT_B   |UNUSED   |           |4             |          |         |           |         |         |          |         |           |                |
|N10       |           |DIFFM    |IO_L29P_4          |UNUSED   |           |4             |          |         |           |         |         |          |         |           |                |
|N11       |           |DIFFM    |IO_L27P_4/D1       |UNUSED   |           |4             |          |         |           |         |         |          |         |           |                |
|N12       |           |IOB      |IO/VREF_4          |UNUSED   |           |4             |          |         |           |         |         |          |         |           |                |
|N13       |           |         |VCCINT             |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|N14       |           |DIFFM    |IO_L19P_3          |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
|N15       |           |DIFFM    |IO_L17P_3/VREF_3   |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
|N16       |           |DIFFS    |IO_L17N_3          |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
|P1        |inta       |IOB      |IO_L01P_6/VRN_6    |OUTPUT   |LVCMOS25   |6             |12        |SLOW     |NONE**     |         |         |LOCATED   |         |NO         |NONE            |
|P2        |           |DIFFS    |IO_L16N_6          |UNUSED   |           |6             |          |         |           |         |         |          |         |           |                |
|P3        |           |         |M0                 |         |           |              |          |         |           |         |         |          |         |           |                |
|P4        |           |         |M2                 |         |           |              |          |         |           |         |         |          |         |           |                |
|P5        |diag<6>    |IOB      |IO_L27P_5          |OUTPUT   |LVCMOS25   |5             |12        |SLOW     |NONE**     |         |         |          |         |NO         |NONE            |
|P6        |diag<1>    |IOB      |IO_L29P_5/VREF_5   |OUTPUT   |LVCMOS25   |5             |12        |SLOW     |NONE**     |         |         |          |         |NO         |NONE            |
|P7        |           |IOB      |IO                 |UNUSED   |           |5             |          |         |           |         |         |          |         |           |                |
|P8        |clock      |IOB      |IO_L32N_5/GCLK3    |INPUT    |LVCMOS25   |5             |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|P9        |           |DIFFM    |IO_L31P_4/DOUT/BUSY|UNUSED   |           |4             |          |         |           |         |         |          |         |           |                |
|P10       |           |DIFFS    |IO_L30N_4/D2       |UNUSED   |           |4             |          |         |           |         |         |          |         |           |                |
|P11       |           |DIFFS    |IO_L28N_4          |UNUSED   |           |4             |          |         |           |         |         |          |         |           |                |
|P12       |           |DIFFS    |IO_L25N_4          |UNUSED   |           |4             |          |         |           |         |         |          |         |           |                |
|P13       |           |IOB      |IO/VREF_4          |UNUSED   |           |4             |          |         |           |         |         |          |         |           |                |
|P14       |           |DIFFM    |IO_L16P_3          |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
|P15       |           |DIFFS    |IO_L16N_3          |UNUSED   |           |3             |          |         |           |         |         |          |         |           |                |
