count, parallel 8 bit, parallel 14 bit, serial
        215,'d0,'0b3a,'de
        216,'a7,'28f2,'bd
        217,'ce,'0830,'7b
        218,'22,'17f0,'f6
        219,'8f,'2e65,'ec
        220,'c2,'234b,'d8
        221,'20,'35bd,'b1
        222,'f0,'3126,'63
        223,'57,'0fa1,'c6
        224,'99,'1675,'8d
        225,'bb,'11e4,'1a
        226,'34,'1061,'34
        227,'f6,'2fe0,'69
        228,'d6,'1cca,'d2
        229,'26,'0697,'a5
        230,'71,'2b7b,'4b
        231,'e8,'224d,'97
        232,'53,'1f43,'2e
        233,'67,'2cea,'5d
        234,'91,'23c8,'bb
        235,'47,'20c2,'77
        236,'61,'1fc0,'ee
        237,'10,'3995,'dc
        238,'f8,'0d2e,'b9
        239,'ab,'16f6,'73
        240,'cc,'049b,'e6
        241,'5d,'3e87,'cc
        242,'1a,'19d4,'99
        243,'7b,'0791,'32
        244,'6b,'0185,'65
        245,'93,'3f81,'ca
        246,'38,'332a,'95
        247,'f4,'1a5d,'2a
        248,'a9,'2dec,'55
        249,'b3,'0936,'ab
        250,'c8,'3d0e,'57
        251,'a3,'33a9,'af
        252,'30,'0f22,'5f
        253,'08,'030a,'bf
        254,'fc,'3f02,'7f
        255,'55,'2655,'fe
        256,'e6,'34bb,'fc
        257,'2e,'1bd8,'f8
        258,'8d,'126d,'f0
        259,'bd,'3a1c,'e0
        260,'b5,'2753,'c0
        261,'49,'1e45,'81
        262,'1c,'0614,'02
        263,'fa,'3e04,'04
        264,'d4,'0cab,'08
        265,'59,'2977,'10
        266,'e4,'37b1,'20
        267,'51,'24da,'41
        268,'18,'3438,'83
        269,'04,'0ea7,'06
        270,'fe,'3c8b,'0c
        271,'2a,'0c28,'18
        272,'73,'3c08,'30
        273,'97,'1957,'61
        274,'c6,'12ee,'c2
        275,'de,'2f63,'85
        276,'da,'09b5,'0a
        277,'24,'2871,'14
        278,'0e,'1d4f,'28
        279,'7d,'3916,'51
        280,'ea,'1851,'a3
        281,'2c,'3810,'47
        282,'f2,'32af,'8f
        283,'28,'25dc,'1e
        284,'0c,'1ec6,'3c
        285,'02,'136b,'79
        286,'7f,'10e2,'f2
        287,'95,'3a9f,'e4
        288,'b9,'322c,'c8
        289,'4b,'30a3,'91
        290,'63,'3020,'22
        291,'6f,'255f,'45
        292,'6d,'0bb9,'8b
        293,'12,'3d8d,'16
        294,'87,'26d6,'2c
        295,'3e,'21c4,'59
        296,'75,'353e,'b3
        297,'16,'2459,'67
        298,'79,'2147,'ce
        299,'14,'2041,'9d
        300,'06,'0abf,'3a
        301,'81,'1773,'75
        302,'bf,'3b1a,'ea
        303,'ca,'0dad,'d4
        304,'dc,'0389,'a9
        305,'a5,'2a7d,'53
        306,'b1,'08b3,'a7
        307,'b7,'028f,'4f
        308,'36,'0083,'9f
        309,'89,'157f,'3e
        310,'43,'2ee6,'7d
        311,'9f,'3634,'fa
        312,'3a,'1b5b,'f4
        313,'8b,'0712,'e8
        314,'3c,'14fa,'d0
        315,'0a,'1167,'a1
        316,'83,'051e,'43
        317,'c0,'0106,'87
        318,'5f,'2afe,'0e
        319,'65,'1dcc,'1c
        320,'ee,'2c69,'38
        321,'d2,'36b7,'71
        322,'d8,'0e24,'e2
        323,'5b,'29f4,'c4
        324,'9b,'22ce,'89
        325,'c4,'0a3c,'12
        326,'a1,'020c,'24
        327,'4f,'15fc,'49
        328,'9d,'3b99,'93
        329,'45,'18d2,'26
        330,'1e,'2d6f,'4d
        331,'85,'1c49,'9b
        332,'41,'13e8,'36
        333,'e0,'059d,'6d
        334,'af,'1479,'da
        335,'32,'0418,'b5
        336,'77,'2bf8,'6b
        337,'69,'3732,'d6
        338,'ec,'31a5,'ad
        339,'ad,'1ade,'5b
        340,'4d,'3893,'b7
        341,'e2,'27d0,'6f
        342,'d0,'0b3a,'de
        343,'a7,'28f2,'bd
        344,'ce,'0830,'7b
        345,'22,'17f0,'f6
        346,'8f,'2e65,'ec
        347,'c2,'234b,'d8
        348,'20,'35bd,'b1
        349,'f0,'3126,'63
        350,'57,'0fa1,'c6
        351,'99,'1675,'8d
        352,'bb,'11e4,'1a
        353,'34,'1061,'34
        354,'f6,'2fe0,'69
        355,'d6,'1cca,'d2
        356,'26,'0697,'a5
        357,'71,'2b7b,'4b
        358,'e8,'224d,'97
        359,'53,'1f43,'2e
        360,'67,'2cea,'5d
        361,'91,'23c8,'bb
        362,'47,'20c2,'77
        363,'61,'1fc0,'ee
        364,'10,'3995,'dc
        365,'f8,'0d2e,'b9
        366,'ab,'16f6,'73
        367,'cc,'049b,'e6
        368,'5d,'3e87,'cc
        369,'1a,'19d4,'99
        370,'7b,'0791,'32
        371,'6b,'0185,'65
        372,'93,'3f81,'ca
        373,'38,'332a,'95
        374,'f4,'1a5d,'2a
        375,'a9,'2dec,'55
        376,'b3,'0936,'ab
        377,'c8,'3d0e,'57
        378,'a3,'33a9,'af
        379,'30,'0f22,'5f
        380,'08,'030a,'bf
        381,'fc,'3f02,'7f
        382,'55,'2655,'fe
        383,'e6,'34bb,'fc
        384,'2e,'1bd8,'f8
        385,'8d,'126d,'f0
        386,'bd,'3a1c,'e0
        387,'b5,'2753,'c0
        388,'49,'1e45,'81
        389,'1c,'0614,'02
        390,'fa,'3e04,'04
        391,'d4,'0cab,'08
        392,'59,'2977,'10
        393,'e4,'37b1,'20
        394,'51,'24da,'41
        395,'18,'3438,'83
        396,'04,'0ea7,'06
        397,'fe,'3c8b,'0c
        398,'2a,'0c28,'18
        399,'73,'3c08,'30
        400,'97,'1957,'61
        401,'c6,'12ee,'c2
        402,'de,'2f63,'85
        403,'da,'09b5,'0a
        404,'24,'2871,'14
        405,'0e,'1d4f,'28
        406,'7d,'3916,'51
        407,'ea,'1851,'a3
        408,'2c,'3810,'47
        409,'f2,'32af,'8f
        410,'28,'25dc,'1e
        411,'0c,'1ec6,'3c
        412,'02,'136b,'79
        413,'7f,'10e2,'f2
        414,'95,'3a9f,'e4
        415,'b9,'322c,'c8
        416,'4b,'30a3,'91
        417,'63,'3020,'22
        418,'6f,'255f,'45
        419,'6d,'0bb9,'8b
        420,'12,'3d8d,'16
        421,'87,'26d6,'2c
        422,'3e,'21c4,'59
        423,'75,'353e,'b3
        424,'16,'2459,'67
        425,'79,'2147,'ce
        426,'14,'2041,'9d
        427,'06,'0abf,'3a
        428,'81,'1773,'75
        429,'bf,'3b1a,'ea
        430,'ca,'0dad,'d4
        431,'dc,'0389,'a9
        432,'a5,'2a7d,'53
        433,'b1,'08b3,'a7
        434,'b7,'028f,'4f
        435,'36,'0083,'9f
        436,'89,'157f,'3e
        437,'43,'2ee6,'7d
        438,'9f,'3634,'fa
        439,'3a,'1b5b,'f4
        440,'8b,'0712,'e8
        441,'3c,'14fa,'d0
        442,'0a,'1167,'a1
        443,'83,'051e,'43
        444,'c0,'0106,'87
        445,'5f,'2afe,'0e
        446,'65,'1dcc,'1c
        447,'ee,'2c69,'38
        448,'d2,'36b7,'71
        449,'d8,'0e24,'e2
        450,'5b,'29f4,'c4
        451,'9b,'22ce,'89
        452,'c4,'0a3c,'12
        453,'a1,'020c,'24
        454,'4f,'15fc,'49
        455,'9d,'3b99,'93
        456,'45,'18d2,'26
        457,'1e,'2d6f,'4d
        458,'85,'1c49,'9b
        459,'41,'13e8,'36
        460,'e0,'059d,'6d
        461,'af,'1479,'da
        462,'32,'0418,'b5
        463,'77,'2bf8,'6b
        464,'69,'3732,'d6
        465,'ec,'31a5,'ad
        466,'ad,'1ade,'5b
        467,'4d,'3893,'b7
        468,'e2,'27d0,'6f
        469,'d0,'0b3a,'de
        470,'a7,'28f2,'bd
        471,'ce,'0830,'7b
        472,'22,'17f0,'f6
        473,'8f,'2e65,'ec
        474,'c2,'234b,'d8
        475,'20,'35bd,'b1
        476,'f0,'3126,'63
        477,'57,'0fa1,'c6
        478,'99,'1675,'8d
        479,'bb,'11e4,'1a
        480,'34,'1061,'34
        481,'f6,'2fe0,'69
        482,'d6,'1cca,'d2
        483,'26,'0697,'a5
        484,'71,'2b7b,'4b
        485,'e8,'224d,'97
        486,'53,'1f43,'2e
        487,'67,'2cea,'5d
        488,'91,'23c8,'bb
        489,'47,'20c2,'77
        490,'61,'1fc0,'ee
        491,'10,'3995,'dc
        492,'f8,'0d2e,'b9
        493,'ab,'16f6,'73
        494,'cc,'049b,'e6
        495,'5d,'3e87,'cc
        496,'1a,'19d4,'99
        497,'7b,'0791,'32
        498,'6b,'0185,'65
        499,'93,'3f81,'ca
        500,'38,'332a,'95
        501,'f4,'1a5d,'2a
        502,'a9,'2dec,'55
        503,'b3,'0936,'ab
        504,'c8,'3d0e,'57
        505,'a3,'33a9,'af
        506,'30,'0f22,'5f
        507,'08,'030a,'bf
        508,'fc,'3f02,'7f
        509,'55,'2655,'fe
        510,'e6,'34bb,'fc
        511,'2e,'1bd8,'f8
        512,'8d,'126d,'f0
        513,'bd,'3a1c,'e0
        514,'b5,'2753,'c0
        515,'49,'1e45,'81
        516,'1c,'0614,'02
        517,'fa,'3e04,'04
        518,'d4,'0cab,'08
        519,'59,'2977,'10
        520,'e4,'37b1,'20
        521,'51,'24da,'41
        522,'18,'3438,'83
        523,'04,'0ea7,'06
        524,'fe,'3c8b,'0c
        525,'2a,'0c28,'18
        526,'73,'3c08,'30
        527,'97,'1957,'61
        528,'c6,'12ee,'c2
        529,'de,'2f63,'85
        530,'da,'09b5,'0a
        531,'24,'2871,'14
        532,'0e,'1d4f,'28
        533,'7d,'3916,'51
        534,'ea,'1851,'a3
        535,'2c,'3810,'47
        536,'f2,'32af,'8f
        537,'28,'25dc,'1e
        538,'0c,'1ec6,'3c
        539,'02,'136b,'79
        540,'7f,'10e2,'f2
        541,'95,'3a9f,'e4
        542,'b9,'322c,'c8
        543,'4b,'30a3,'91
        544,'63,'3020,'22
        545,'6f,'255f,'45
        546,'6d,'0bb9,'8b
        547,'12,'3d8d,'16
        548,'87,'26d6,'2c
        549,'3e,'21c4,'59
        550,'75,'353e,'b3
        551,'16,'2459,'67
        552,'79,'2147,'ce
        553,'14,'2041,'9d
        554,'06,'0abf,'3a
        555,'81,'1773,'75
        556,'bf,'3b1a,'ea
        557,'ca,'0dad,'d4
        558,'dc,'0389,'a9
        559,'a5,'2a7d,'53
        560,'b1,'08b3,'a7
        561,'b7,'028f,'4f
        562,'36,'0083,'9f
        563,'89,'157f,'3e
        564,'43,'2ee6,'7d
        565,'9f,'3634,'fa
        566,'3a,'1b5b,'f4
        567,'8b,'0712,'e8
        568,'3c,'14fa,'d0
        569,'0a,'1167,'a1
        570,'83,'051e,'43
        571,'c0,'0106,'87
        572,'5f,'2afe,'0e
        573,'65,'1dcc,'1c
        574,'ee,'2c69,'38
        575,'d2,'36b7,'71
        576,'d8,'0e24,'e2
        577,'5b,'29f4,'c4
        578,'9b,'22ce,'89
        579,'c4,'0a3c,'12
        580,'a1,'020c,'24
        581,'4f,'15fc,'49
        582,'9d,'3b99,'93
        583,'45,'18d2,'26
        584,'1e,'2d6f,'4d
        585,'85,'1c49,'9b
        586,'41,'13e8,'36
        587,'e0,'059d,'6d
        588,'af,'1479,'da
        589,'32,'0418,'b5
        590,'77,'2bf8,'6b
        591,'69,'3732,'d6
        592,'ec,'31a5,'ad
        593,'ad,'1ade,'5b
        594,'4d,'3893,'b7
        595,'e2,'27d0,'6f
        596,'d0,'0b3a,'de
        597,'a7,'28f2,'bd
        598,'ce,'0830,'7b
        599,'22,'17f0,'f6
        600,'8f,'2e65,'ec
        601,'c2,'234b,'d8
        602,'20,'35bd,'b1
        603,'f0,'3126,'63
        604,'57,'0fa1,'c6
        605,'99,'1675,'8d
        606,'bb,'11e4,'1a
        607,'34,'1061,'34
        608,'f6,'2fe0,'69
        609,'d6,'1cca,'d2
        610,'26,'0697,'a5
        611,'71,'2b7b,'4b
        612,'e8,'224d,'97
        613,'53,'1f43,'2e
        614,'67,'2cea,'5d
        615,'91,'23c8,'bb
        616,'47,'20c2,'77
        617,'61,'1fc0,'ee
        618,'10,'3995,'dc
        619,'f8,'0d2e,'b9
        620,'ab,'16f6,'73
        621,'cc,'049b,'e6
        622,'5d,'3e87,'cc
        623,'1a,'19d4,'99
        624,'7b,'0791,'32
        625,'6b,'0185,'65
        626,'93,'3f81,'ca
        627,'38,'332a,'95
        628,'f4,'1a5d,'2a
        629,'a9,'2dec,'55
        630,'b3,'0936,'ab
        631,'c8,'3d0e,'57
        632,'a3,'33a9,'af
        633,'30,'0f22,'5f
        634,'08,'030a,'bf
        635,'fc,'3f02,'7f
        636,'55,'2655,'fe
        637,'e6,'34bb,'fc
        638,'2e,'1bd8,'f8
        639,'8d,'126d,'f0
        640,'bd,'3a1c,'e0
        641,'b5,'2753,'c0
        642,'49,'1e45,'81
        643,'1c,'0614,'02
        644,'fa,'3e04,'04
        645,'d4,'0cab,'08
        646,'59,'2977,'10
        647,'e4,'37b1,'20
        648,'51,'24da,'41
        649,'18,'3438,'83
        650,'04,'0ea7,'06
        651,'fe,'3c8b,'0c
        652,'2a,'0c28,'18
        653,'73,'3c08,'30
        654,'97,'1957,'61
        655,'c6,'12ee,'c2
        656,'de,'2f63,'85
        657,'da,'09b5,'0a
        658,'24,'2871,'14
        659,'0e,'1d4f,'28
        660,'7d,'3916,'51
        661,'ea,'1851,'a3
        662,'2c,'3810,'47
        663,'f2,'32af,'8f
        664,'28,'25dc,'1e
        665,'0c,'1ec6,'3c
        666,'02,'136b,'79
        667,'7f,'10e2,'f2
        668,'95,'3a9f,'e4
        669,'b9,'322c,'c8
        670,'4b,'30a3,'91
        671,'63,'3020,'22
        672,'6f,'255f,'45
        673,'6d,'0bb9,'8b
        674,'12,'3d8d,'16
        675,'87,'26d6,'2c
        676,'3e,'21c4,'59
        677,'75,'353e,'b3
        678,'16,'2459,'67
        679,'79,'2147,'ce
        680,'14,'2041,'9d
        681,'06,'0abf,'3a
        682,'81,'1773,'75
        683,'bf,'3b1a,'ea
        684,'ca,'0dad,'d4
        685,'dc,'0389,'a9
        686,'a5,'2a7d,'53
        687,'b1,'08b3,'a7
        688,'b7,'028f,'4f
        689,'36,'0083,'9f
        690,'89,'157f,'3e
        691,'43,'2ee6,'7d
        692,'9f,'3634,'fa
        693,'3a,'1b5b,'f4
        694,'8b,'0712,'e8
        695,'3c,'14fa,'d0
        696,'0a,'1167,'a1
        697,'83,'051e,'43
        698,'c0,'0106,'87
        699,'5f,'2afe,'0e
        700,'65,'1dcc,'1c
        701,'ee,'2c69,'38
        702,'d2,'36b7,'71
        703,'d8,'0e24,'e2
        704,'5b,'29f4,'c4
        705,'9b,'22ce,'89
        706,'c4,'0a3c,'12
        707,'a1,'020c,'24
        708,'4f,'15fc,'49
        709,'9d,'3b99,'93
        710,'45,'18d2,'26
        711,'1e,'2d6f,'4d
        712,'85,'1c49,'9b
        713,'41,'13e8,'36
        714,'e0,'059d,'6d
        715,'af,'1479,'da
        716,'32,'0418,'b5
        717,'77,'2bf8,'6b
        718,'69,'3732,'d6
        719,'ec,'31a5,'ad
        720,'ad,'1ade,'5b
        721,'4d,'3893,'b7
        722,'e2,'27d0,'6f
        723,'d0,'0b3a,'de
        724,'a7,'28f2,'bd
        725,'ce,'0830,'7b
        726,'22,'17f0,'f6
        727,'8f,'2e65,'ec
        728,'c2,'234b,'d8
        729,'20,'35bd,'b1
        730,'f0,'3126,'63
        731,'57,'0fa1,'c6
        732,'99,'1675,'8d
        733,'bb,'11e4,'1a
        734,'34,'1061,'34
        735,'f6,'2fe0,'69
        736,'d6,'1cca,'d2
        737,'26,'0697,'a5
        738,'71,'2b7b,'4b
        739,'e8,'224d,'97
        740,'53,'1f43,'2e
        741,'67,'2cea,'5d
        742,'91,'23c8,'bb
        743,'47,'20c2,'77
        744,'61,'1fc0,'ee
        745,'10,'3995,'dc
        746,'f8,'0d2e,'b9
        747,'ab,'16f6,'73
        748,'cc,'049b,'e6
        749,'5d,'3e87,'cc
        750,'1a,'19d4,'99
        751,'7b,'0791,'32
        752,'6b,'0185,'65
        753,'93,'3f81,'ca
        754,'38,'332a,'95
        755,'f4,'1a5d,'2a
        756,'a9,'2dec,'55
        757,'b3,'0936,'ab
        758,'c8,'3d0e,'57
        759,'a3,'33a9,'af
        760,'30,'0f22,'5f
        761,'08,'030a,'bf
        762,'fc,'3f02,'7f
        763,'55,'2655,'fe
        764,'e6,'34bb,'fc
        765,'2e,'1bd8,'f8
        766,'8d,'126d,'f0
        767,'bd,'3a1c,'e0
        768,'b5,'2753,'c0
        769,'49,'1e45,'81
        770,'1c,'0614,'02
        771,'fa,'3e04,'04
        772,'d4,'0cab,'08
        773,'59,'2977,'10
        774,'e4,'37b1,'20
        775,'51,'24da,'41
        776,'18,'3438,'83
        777,'04,'0ea7,'06
        778,'fe,'3c8b,'0c
        779,'2a,'0c28,'18
        780,'73,'3c08,'30
        781,'97,'1957,'61
        782,'c6,'12ee,'c2
        783,'de,'2f63,'85
        784,'da,'09b5,'0a
        785,'24,'2871,'14
        786,'0e,'1d4f,'28
        787,'7d,'3916,'51
        788,'ea,'1851,'a3
        789,'2c,'3810,'47
        790,'f2,'32af,'8f
        791,'28,'25dc,'1e
        792,'0c,'1ec6,'3c
        793,'02,'136b,'79
        794,'7f,'10e2,'f2
        795,'95,'3a9f,'e4
        796,'b9,'322c,'c8
        797,'4b,'30a3,'91
        798,'63,'3020,'22
        799,'6f,'255f,'45
        800,'6d,'0bb9,'8b
        801,'12,'3d8d,'16
        802,'87,'26d6,'2c
        803,'3e,'21c4,'59
        804,'75,'353e,'b3
        805,'16,'2459,'67
        806,'79,'2147,'ce
        807,'14,'2041,'9d
        808,'06,'0abf,'3a
        809,'81,'1773,'75
        810,'bf,'3b1a,'ea
        811,'ca,'0dad,'d4
        812,'dc,'0389,'a9
        813,'a5,'2a7d,'53
        814,'b1,'08b3,'a7
        815,'b7,'028f,'4f
        816,'36,'0083,'9f
        817,'89,'157f,'3e
        818,'43,'2ee6,'7d
        819,'9f,'3634,'fa
        820,'3a,'1b5b,'f4
        821,'8b,'0712,'e8
        822,'3c,'14fa,'d0
        823,'0a,'1167,'a1
        824,'83,'051e,'43
        825,'c0,'0106,'87
        826,'5f,'2afe,'0e
        827,'65,'1dcc,'1c
        828,'ee,'2c69,'38
        829,'d2,'36b7,'71
        830,'d8,'0e24,'e2
        831,'5b,'29f4,'c4
        832,'9b,'22ce,'89
        833,'c4,'0a3c,'12
        834,'a1,'020c,'24
        835,'4f,'15fc,'49
        836,'9d,'3b99,'93
        837,'45,'18d2,'26
        838,'1e,'2d6f,'4d
        839,'85,'1c49,'9b
        840,'41,'13e8,'36
        841,'e0,'059d,'6d
        842,'af,'1479,'da
        843,'32,'0418,'b5
        844,'77,'2bf8,'6b
        845,'69,'3732,'d6
        846,'ec,'31a5,'ad
        847,'ad,'1ade,'5b
        848,'4d,'3893,'b7
        849,'e2,'27d0,'6f
        850,'d0,'0b3a,'de
        851,'a7,'28f2,'bd
        852,'ce,'0830,'7b
        853,'22,'17f0,'f6
        854,'8f,'2e65,'ec
        855,'c2,'234b,'d8
        856,'20,'35bd,'b1
        857,'f0,'3126,'63
        858,'57,'0fa1,'c6
        859,'99,'1675,'8d
        860,'bb,'11e4,'1a
        861,'34,'1061,'34
        862,'f6,'2fe0,'69
        863,'d6,'1cca,'d2
        864,'26,'0697,'a5
        865,'71,'2b7b,'4b
        866,'e8,'224d,'97
        867,'53,'1f43,'2e
        868,'67,'2cea,'5d
        869,'91,'23c8,'bb
        870,'47,'20c2,'77
        871,'61,'1fc0,'ee
        872,'10,'3995,'dc
        873,'f8,'0d2e,'b9
        874,'ab,'16f6,'73
        875,'cc,'049b,'e6
        876,'5d,'3e87,'cc
        877,'1a,'19d4,'99
        878,'7b,'0791,'32
        879,'6b,'0185,'65
        880,'93,'3f81,'ca
        881,'38,'332a,'95
        882,'f4,'1a5d,'2a
        883,'a9,'2dec,'55
        884,'b3,'0936,'ab
        885,'c8,'3d0e,'57
        886,'a3,'33a9,'af
        887,'30,'0f22,'5f
        888,'08,'030a,'bf
        889,'fc,'3f02,'7f
        890,'55,'2655,'fe
        891,'e6,'34bb,'fc
        892,'2e,'1bd8,'f8
        893,'8d,'126d,'f0
        894,'bd,'3a1c,'e0
        895,'b5,'2753,'c0
        896,'49,'1e45,'81
        897,'1c,'0614,'02
        898,'fa,'3e04,'04
        899,'d4,'0cab,'08
        900,'59,'2977,'10
        901,'e4,'37b1,'20
        902,'51,'24da,'41
        903,'18,'3438,'83
        904,'04,'0ea7,'06
        905,'fe,'3c8b,'0c
        906,'2a,'0c28,'18
        907,'73,'3c08,'30
        908,'97,'1957,'61
        909,'c6,'12ee,'c2
        910,'de,'2f63,'85
        911,'da,'09b5,'0a
        912,'24,'2871,'14
        913,'0e,'1d4f,'28
        914,'7d,'3916,'51
        915,'ea,'1851,'a3
        916,'2c,'3810,'47
        917,'f2,'32af,'8f
        918,'28,'25dc,'1e
        919,'0c,'1ec6,'3c
        920,'02,'136b,'79
        921,'7f,'10e2,'f2
        922,'95,'3a9f,'e4
        923,'b9,'322c,'c8
        924,'4b,'30a3,'91
        925,'63,'3020,'22
        926,'6f,'255f,'45
        927,'6d,'0bb9,'8b
        928,'12,'3d8d,'16
        929,'87,'26d6,'2c
        930,'3e,'21c4,'59
        931,'75,'353e,'b3
